Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2020-09-29;28;13;199;8;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-22;11;1;116;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-06-10;19;1;123;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-06-19;17;1;66;1;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-22;3;0;51;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-17;12;4;115;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-04-06;26;4;18;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-06;19;0;25;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-12;28;3;72;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;2
974;2020-07-24;8;1;74;1;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-03-19;2;2;0;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-03-21;2;2;0;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-03-22;2;2;0;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-03-27;3;2;0;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-04;20;0;21;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-11;30;3;70;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;12
974;2020-04-14;28;3;72;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;1
974;2020-04-16;13;4;38;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-17;13;3;39;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-18;11;2;41;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-04-25;93;26;712;90;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;50.0;17.0;0.0;;;;
974;2021-05-01;152;39;1464;160;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;86.0;27.0;0.0;16;5;1;11
974;2021-05-03;67;14;714;69;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;42.0;11.0;0.0;;;;
974;2021-05-09;155;36;1532;175;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;90.0;29.0;0.0;12;3;2;5
974;2021-10-18;37;4;1496;204;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;20.0;12.0;1.0;;;;
974;2021-07-04;158;41;2059;250;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;83.0;34.0;0.0;5;0;1;4
974;2021-07-12;69;11;1031;118;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;43.0;15.0;0.0;;;;
974;2021-07-18;78;26;1123;148;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;38.0;14.0;0.0;;;;
974;2021-07-20;141;42;2227;274;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;69.0;30.0;0.0;10;3;2;19
974;2021-08-25;80;20;1304;158;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;47.0;13.0;0.0;;;;
974;2021-09-02;165;34;2741;352;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;99.0;31.0;1.0;12;5;2;12
974;2021-09-19;45;9;1409;170;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;26.0;10.0;0.0;;;;
974;2020-10-07;28;10;209;9;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
